shot,diagnostic,signal_name,label,units,source_file,dataset_path,time_dataset_path,time_discovery_method,data_time_length_match,observations,finite_observations,nan_count,inf_count,zero_count,negative_count,minimum,maximum,mean,median,std_dev,time_found,time_observations,time_start,time_end,duration_s,median_timestep_s,min_timestep_s,max_timestep_s,duplicate_time_count,missing_pct,finite_pct,time_quality
27936,AMC,AMC_PLASMA CURRENT,Plasma Current,kA,amc27936.nc,amc/plasma_current/data,/time,HDF5 dimension reference,True,30000,30000,0,0,0,22899,-29.058223724365234,811.476318359375,46.68583945315786,-0.3918549567461014,162.36281365370198,True,30000,-1.999900221824646,3.9998996266076574,5.999799848432303,0.00019999999494757503,0.00019999999494757503,0.00019999999494757503,0,0.0,100.0,OK
27936,ANB,ANB_SS_SUM_POWER,,MW,anb27936.nc,anb/ss_sum_power/data,/time,HDF5 dimension reference,True,50001,50001,0,0,0,13,-0.01928931288421154,1.655889868736267,0.227661677765139,0.0005663692718371749,0.5370407138134009,True,50001,-0.5,1.999999936844688,2.499999936844688,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
27936,ANB,ANB_SW_SUM_POWER,,MW,anb27936.nc,anb/sw_sum_power/data,/anb/sw_sum_power/time,HDF5 dimension reference,True,2,2,0,0,2,0,0.0,0.0,0.0,0.0,0.0,True,2,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,100.0,OK
27936,ANB,ANB_TOT_SUM_POWER,,MW,anb27936.nc,anb/tot_sum_power/data,/time,HDF5 dimension reference,True,50001,50001,0,0,0,13,-0.01928931288421154,1.655889868736267,0.227661677765139,0.0005663692718371749,0.5370407138134009,True,50001,-0.5,1.999999936844688,2.499999936844688,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
27936,ANU,ANU_ERRORS,errors,"error, neutr",anu27936.nc,anu/errors/data,/anu/errors/time,HDF5 dimension reference,True,36724,36724,0,0,218,0,0.0,5703865991168.0,3189549671239.0195,3290171179008.0,1045032581043.0223,True,36724,-0.09749999642372131,1.3974999636411667,1.494999960064888,9.999999747378752e-06,9.999999747378752e-06,0.004999999888241291,0,0.0,100.0,OK
27936,ANU,ANU_NEUTRONS,neutrons,neutrons/sec,anu27936.nc,anu/neutrons/data,/anu/neutrons/time,HDF5 dimension reference,True,36724,36724,0,0,218,59,-53171048448.0,67803272970240.0,37766443989699.65,38966472474624.0,12478749827983.287,True,36724,-0.09749999642372131,1.3974999636411667,1.494999960064888,9.999999747378752e-06,9.999999747378752e-06,0.004999999888241291,0,0.0,100.0,OK
27936,ANU,ANU_NEUTRONS_CB,neutrons_cb,neutrons/sec,anu27936.nc,anu/neutrons_cb/data,/time,HDF5 dimension reference,True,122880,122880,0,0,0,84810,-61331451904.0,67803272970240.0,11249765846143.084,-60859031552.0,18608002945870.598,True,122880,-0.10000000149011612,1.1287899674680375,1.2287899689581536,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
27936,ANU,ANU_NEUTRONS_DC,neutrons_dc,neutrons/sec,anu27936.nc,anu/neutrons_dc/data,/anu/neutrons_dc/time,HDF5 dimension reference,True,118881,118881,0,0,0,27960,-4308077117440.0,64656186015744.0,12322923293150.145,2280238612480.0,18583331704923.41,True,118881,-0.08000000566244125,1.1087999643059447,1.188799969968386,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
27937,AMC,AMC_PLASMA CURRENT,Plasma Current,kA,amc27937.nc,amc/plasma_current/data,/time,HDF5 dimension reference,True,30000,30000,0,0,0,19603,-30.981761932373047,767.4951171875,38.97602172178865,-0.22193263471126556,147.7607959732804,True,30000,-1.999900221824646,3.9998996266076574,5.999799848432303,0.00019999999494757503,0.00019999999494757503,0.00019999999494757503,0,0.0,100.0,OK
27937,ANB,ANB_SS_SUM_POWER,,MW,anb27937.nc,anb/ss_sum_power/data,/time,HDF5 dimension reference,True,50001,50001,0,0,0,43,-0.046369750052690506,1.6512008905410767,0.15680649026389426,0.000554080936126411,0.45692500351569826,True,50001,-0.5,1.999999936844688,2.499999936844688,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
